Rpa;Tipo_cod;Tipo;Cod_escola;Escola;Inep;Rua;Numero;Cod_bairro;Bairro;Metragem;Qtd_alunos;Qtd_turmas;Qtd_professores;Escola_climatizada;Data_visita;Quadra_coberta;Quadra_descoberta;Biblioteca;Sala_recurso;Gestor;Longitude;Latitude;Região
5;1;ESCOLA MUNICIPAL;339;PROFESSOR POTIGUAR MATOS;26154137.0;VINTE E UM DE ABRIL;2191;817;SAN MARTIN;1151,3;415;16;14;NÂO;;NÃO;NÃO;SIM;SIM;GERLANE RODRIGUES DA SILVA ARAUJO;-34.925;-8.0726;Sudeste
5;1;ESCOLA MUNICIPAL;64;PROFESSORA MARIA DA PAZ BRANDAO ALVES;26120569.0;DA FELICIDADE;51;906;SANCHO;1229,2;580;29;20;NÂO;08/02/2017;NÃO;SIM;SIM;SIM;CLAUDIA VIDAL DA SILVA PEREIRA;-34.961;-8.0823;Sudeste
5;1;ESCOLA MUNICIPAL;290;PROFESSORA PRIMITIVA DE BARROS SILVA;26123649.0;ATOR ELPIDIO CAMARA;122;868;JARDIM SAO PAULO;403;223;13;10;NÂO;;NÃO;NÃO;SIM;NÃO;CIBELE CRISTINA OLIVEIRA DA SILVA;-34.938;-8.0835;Sudeste
5;1;ESCOLA MUNICIPAL;269;SANTA EDWIGES;26123100.0;JURITI;41;779;AFOGADOS;202,5;132;10;5;SIM;;NÃO;NÃO;NÃO;NÃO;ALANA BARRETO LOPES;-34.907;-8.0699;Sudeste
5;1;ESCOLA MUNICIPAL;81;SANTO ANTONIO DO CACOTE;26123673.0;GUARACI;16;850;AREIAS;209;184;12;9;SIM;;NÃO;NÃO;SIM;NÃO;MARIA DO SOCORRO DOS SANTOS MACHADO;-34.929;-8.1002;Sudeste
5;1;ESCOLA MUNICIPAL;83;VILA SAO MIGUEL;26123126.0;RUBIACEA;147;779;AFOGADOS;619,9;409;18;13;SIM;;NÃO;NÃO;SIM;SIM;ELAINE ROZENTAL DE BRITO;-34.912;-8.0841;Sudeste
5;1;ESCOLA MUNICIPAL;182;WALDEMAR VALENTE;26124076.0;GASTAO DE CARVALHO;360;752;CURADO;534,2;281;15;11;SIM;16/02/2017;NÃO;SIM;SIM;SIM;SUELY PEREIRA BELTRAO;-34.947;-8.076;Sudeste
5;2;CRECHE MUNICIPAL;548;BIDO KRAUSE;26148145.0;ONZE DE AGOSTO;S/N;914;TOTO;1072;99;5;6;NÂO;;NÃO;NÃO;NÃO;NÃO;ISABELLE CRISTINE FERREIRA MEDINO;-34.969;-8.0797;Sudeste
5;2;CRECHE MUNICIPAL;524;CRECHE MUNICIPAL CHICO MENDES;26167859.0;SINDICATO DOS VIGILANTES;633;841;CACOTE;98,4;30;3;4;NÂO;;NÃO;NÃO;NÃO;NÃO;JOSE ALYSON LOPES DE OLIVEIRA;-34.932;-8.1015;Sudeste
5;2;CRECHE MUNICIPAL;537;CRECHE MUNICIPAL NOVO HORIZONTE;26153394.0;JOSE BEZERRA CAVALCANTI;244;787;MUSTARDINHA;;64;4;4;NÂO;;NÃO;NÃO;NÃO;NÃO;ALZIRA CRISTINA MELO;-34.92;-8.0711;Sudeste
